Match Number,Round Number,Date,Location,Home Team,Away Team,Result
5,1,21/08/2026 19:45,Stade Vélodrome,Olympique de Marseille,RC Strasbourg Alsace,4 - 0
4,1,22/08/2026 16:15,Stade Bollaert-Delelis,RC Lens,AJ Auxerre,5 - 2
3,1,22/08/2026 19:45,Stade Marie-Marvingt,Le Mans FC,Stade Brestois 29,2 - 2
6,1,22/08/2026 19:45,Allianz Riviera,OGC Nice,FC Lorient,0 - 0
8,1,22/08/2026 19:45,Stadium de Toulouse,Toulouse FC,Olympique Lyonnais,0 - 2
9,1,22/08/2026 19:45,Stade de l'Aube,Estac Troyes,Paris FC,0 - 0
1,1,23/08/2026 14:00,Stade Raymond Kopa,Angers SCO,LOSC Lille,0 - 2
2,1,23/08/2026 16:15,Stade Océane,Havre Athletic Club,AS Monaco,0 - 1
7,1,23/08/2026 19:45,Roazhon Park,Stade Rennais FC,Paris Saint-Germain,2 - 2
12,2,28/08/2026 19:45,Stade Pierre-Mauroy,LOSC Lille,Paris Saint-Germain,2 - 2
18,2,29/08/2026 16:15,Stade de la Meinau,RC Strasbourg Alsace,RC Lens,2 - 1
10,2,29/08/2026 19:45,Stade de l'Abbé-Deschamps,AJ Auxerre,Angers SCO,1 - 3
11,2,29/08/2026 19:45,Stade Francis-Le Blé,Stade Brestois 29,Toulouse FC,2 - 2
13,2,29/08/2026 19:45,Stade du Moustoir,FC Lorient,Estac Troyes,1 - 2
14,2,29/08/2026 19:45,Parc Olympique Lyonnais,Olympique Lyonnais,Havre Athletic Club,1 - 1
16,2,30/08/2026 14:00,Stade Jean-Bouin,Paris FC,OGC Nice,3 - 0
17,2,30/08/2026 16:15,Roazhon Park,Stade Rennais FC,Le Mans FC,3 - 2
15,2,30/08/2026 19:45,Stade Louis II,AS Monaco,Olympique de Marseille,2 - 0
26,3,03/09/2026 19:45,Stadium de Toulouse,Toulouse FC,LOSC Lille,0 - 1
22,3,04/09/2026 18:00,Parc Olympique Lyonnais,Olympique Lyonnais,AJ Auxerre,3 - 1
25,3,04/09/2026 20:05,Parc des Princes,Paris Saint-Germain,AS Monaco,1 - 2
21,3,05/09/2026 16:15,Stade Bollaert-Delelis,RC Lens,FC Lorient,0 - 1
20,3,05/09/2026 19:45,Stade Océane,Havre Athletic Club,Stade Brestois 29,1 - 2
24,3,05/09/2026 19:45,Allianz Riviera,OGC Nice,Le Mans FC,1 - 1
27,3,06/09/2026 14:00,Stade de l'Aube,Estac Troyes,RC Strasbourg Alsace,2 - 6
19,3,06/09/2026 16:15,Stade Raymond Kopa,Angers SCO,Stade Rennais FC,1 - 2
23,3,06/09/2026 19:45,Stade Vélodrome,Olympique de Marseille,Paris FC,2 - 3
35,4,11/09/2026 19:45,Roazhon Park,Stade Rennais FC,Olympique de Marseille,1 - 0
36,4,12/09/2026 16:15,Stade de la Meinau,RC Strasbourg Alsace,AS Monaco,1 - 1
28,4,12/09/2026 19:45,Stade de l'Abbé-Deschamps,AJ Auxerre,OGC Nice,1 - 0
30,4,12/09/2026 19:45,Stade Océane,Havre Athletic Club,Angers SCO,0 - 0
33,4,12/09/2026 19:45,Stade du Moustoir,FC Lorient,Toulouse FC,2 - 2
34,4,12/09/2026 19:45,Stade Jean-Bouin,Paris FC,Olympique Lyonnais,0 - 0
32,4,13/09/2026 14:00,Stade Pierre-Mauroy,LOSC Lille,Estac Troyes,
31,4,13/09/2026 16:15,Stade Marie-Marvingt,Le Mans FC,RC Lens,
29,4,13/09/2026 19:45,Stade Francis-Le Blé,Stade Brestois 29,Paris Saint-Germain,
42,5,18/09/2026 19:45,Stade Louis II,AS Monaco,RC Lens,
44,5,19/09/2026 16:15,Stade Jean-Bouin,Paris FC,RC Strasbourg Alsace,
37,5,19/09/2026 19:45,Stade Raymond Kopa,Angers SCO,Estac Troyes,
39,5,19/09/2026 19:45,Stade Marie-Marvingt,Le Mans FC,FC Lorient,
40,5,19/09/2026 19:45,Parc Olympique Lyonnais,Olympique Lyonnais,Stade Rennais FC,
45,5,19/09/2026 19:45,Stadium de Toulouse,Toulouse FC,Havre Athletic Club,
38,5,20/09/2026 14:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Stade Brestois 29,
43,5,20/09/2026 16:15,Allianz Riviera,OGC Nice,LOSC Lille,
41,5,20/09/2026 19:45,Stade Vélodrome,Olympique de Marseille,Paris Saint-Germain,
47,6,09/10/2026 19:45,Stade Bollaert-Delelis,RC Lens,Olympique Lyonnais,
48,6,10/10/2026 16:15,Stade Pierre-Mauroy,LOSC Lille,Havre Athletic Club,
46,6,10/10/2026 19:45,Stade Francis-Le Blé,Stade Brestois 29,Angers SCO,
49,6,10/10/2026 19:45,Stade du Moustoir,FC Lorient,Paris FC,
50,6,10/10/2026 19:45,Stade Louis II,AS Monaco,Toulouse FC,
52,6,10/10/2026 19:45,Parc des Princes,Paris Saint-Germain,Le Mans FC,
51,6,11/10/2026 14:00,Allianz Riviera,OGC Nice,RC Strasbourg Alsace,
53,6,11/10/2026 16:15,Roazhon Park,Stade Rennais FC,AJ Auxerre,
54,6,11/10/2026 19:45,Stade de l'Aube,Estac Troyes,Olympique de Marseille,
57,7,16/10/2026 19:45,Stade Marie-Marvingt,Le Mans FC,Toulouse FC,
62,7,17/10/2026 16:15,Stade de la Meinau,RC Strasbourg Alsace,Paris Saint-Germain,
58,7,17/10/2026 19:45,Stade Pierre-Mauroy,LOSC Lille,Stade Brestois 29,
63,7,17/10/2026 19:45,Stade de l'Aube,Estac Troyes,RC Lens,
55,7,18/10/2026 14:00,Stade Raymond Kopa,Angers SCO,Olympique de Marseille,
56,7,18/10/2026 16:15,Stade Océane,Havre Athletic Club,AJ Auxerre,
59,7,18/10/2026 16:15,Stade du Moustoir,FC Lorient,AS Monaco,
61,7,18/10/2026 16:15,Stade Jean-Bouin,Paris FC,Stade Rennais FC,
60,7,18/10/2026 19:45,Parc Olympique Lyonnais,Olympique Lyonnais,OGC Nice,
66,8,23/10/2026 19:45,Stade Francis-Le Blé,Stade Brestois 29,OGC Nice,
72,8,24/10/2026 16:15,Stadium de Toulouse,Toulouse FC,Estac Troyes,
67,8,24/10/2026 19:45,Stade Bollaert-Delelis,RC Lens,Paris FC,
69,8,25/10/2026 14:00,Stade Louis II,AS Monaco,LOSC Lille,
64,8,25/10/2026 16:15,Stade Raymond Kopa,Angers SCO,FC Lorient,
65,8,25/10/2026 16:15,Stade de l'Abbé-Deschamps,AJ Auxerre,Le Mans FC,
68,8,25/10/2026 16:15,Stade Vélodrome,Olympique de Marseille,Havre Athletic Club,
71,8,25/10/2026 16:15,Roazhon Park,Stade Rennais FC,RC Strasbourg Alsace,
70,8,25/10/2026 19:45,Parc des Princes,Paris Saint-Germain,Olympique Lyonnais,
73,9,30/10/2026 18:00,Stade Océane,Havre Athletic Club,Paris Saint-Germain,
74,9,30/10/2026 20:05,Stade Pierre-Mauroy,LOSC Lille,RC Lens,
78,9,31/10/2026 16:15,Allianz Riviera,OGC Nice,Stade Rennais FC,
75,9,31/10/2026 19:45,Stade du Moustoir,FC Lorient,Stade Brestois 29,
76,9,31/10/2026 19:45,Parc Olympique Lyonnais,Olympique Lyonnais,Angers SCO,
81,9,31/10/2026 19:45,Stade de l'Aube,Estac Troyes,Le Mans FC,
80,9,01/11/2026 14:00,Stade de la Meinau,RC Strasbourg Alsace,AJ Auxerre,
79,9,01/11/2026 16:15,Stade Jean-Bouin,Paris FC,AS Monaco,
77,9,01/11/2026 19:45,Stade Vélodrome,Olympique de Marseille,Toulouse FC,
90,10,06/11/2026 19:45,Stadium de Toulouse,Toulouse FC,RC Strasbourg Alsace,
83,10,07/11/2026 16:15,Stade de l'Abbé-Deschamps,AJ Auxerre,Paris FC,
88,10,07/11/2026 19:45,Parc des Princes,Paris Saint-Germain,Estac Troyes,
89,10,08/11/2026 14:00,Roazhon Park,Stade Rennais FC,LOSC Lille,
82,10,08/11/2026 16:15,Stade Raymond Kopa,Angers SCO,OGC Nice,
84,10,08/11/2026 16:15,Stade Francis-Le Blé,Stade Brestois 29,Olympique Lyonnais,
85,10,08/11/2026 16:15,Stade Océane,Havre Athletic Club,FC Lorient,
86,10,08/11/2026 16:15,Stade Marie-Marvingt,Le Mans FC,AS Monaco,
87,10,08/11/2026 19:45,Stade Bollaert-Delelis,RC Lens,Olympique de Marseille,
99,11,20/11/2026 19:45,Stade de l'Aube,Estac Troyes,Havre Athletic Club,
96,11,21/11/2026 16:15,Allianz Riviera,OGC Nice,Paris Saint-Germain,
91,11,21/11/2026 19:45,Stade Bollaert-Delelis,RC Lens,Toulouse FC,
92,11,21/11/2026 19:45,Stade Pierre-Mauroy,LOSC Lille,Olympique Lyonnais,
95,11,21/11/2026 19:45,Stade Louis II,AS Monaco,AJ Auxerre,
98,11,21/11/2026 19:45,Stade de la Meinau,RC Strasbourg Alsace,Stade Brestois 29,
97,11,22/11/2026 14:00,Stade Charléty,Paris FC,Angers SCO,
93,11,22/11/2026 16:15,Stade du Moustoir,FC Lorient,Stade Rennais FC,
94,11,22/11/2026 19:45,Stade Vélodrome,Olympique de Marseille,Le Mans FC,
102,12,27/11/2026 19:45,Stade Francis-Le Blé,Stade Brestois 29,Paris FC,
100,12,28/11/2026 16:15,Stade Raymond Kopa,Angers SCO,RC Lens,
103,12,28/11/2026 19:45,Stade Océane,Havre Athletic Club,RC Strasbourg Alsace,
104,12,28/11/2026 19:45,Stade Marie-Marvingt,Le Mans FC,LOSC Lille,
106,12,28/11/2026 19:45,Allianz Riviera,OGC Nice,Estac Troyes,
107,12,28/11/2026 19:45,Parc des Princes,Paris Saint-Germain,FC Lorient,
101,12,29/11/2026 14:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Olympique de Marseille,
108,12,29/11/2026 16:15,Stadium de Toulouse,Toulouse FC,Stade Rennais FC,
105,12,29/11/2026 19:45,Parc Olympique Lyonnais,Olympique Lyonnais,AS Monaco,
109,13,04/12/2026 23:00,Stade Bollaert-Delelis,RC Lens,Havre Athletic Club,
110,13,04/12/2026 23:00,Stade Pierre-Mauroy,LOSC Lille,AJ Auxerre,
111,13,04/12/2026 23:00,Stade Vélodrome,Olympique de Marseille,OGC Nice,
112,13,04/12/2026 23:00,Stade Louis II,AS Monaco,Angers SCO,
113,13,04/12/2026 23:00,Stade Charléty,Paris FC,Le Mans FC,
114,13,04/12/2026 23:00,Roazhon Park,Stade Rennais FC,Stade Brestois 29,
115,13,04/12/2026 23:00,Stade de la Meinau,RC Strasbourg Alsace,FC Lorient,
116,13,04/12/2026 23:00,Stadium de Toulouse,Toulouse FC,Paris Saint-Germain,
117,13,04/12/2026 23:00,Stade de l'Aube,Estac Troyes,Olympique Lyonnais,
118,14,11/12/2026 23:00,Stade Raymond Kopa,Angers SCO,RC Strasbourg Alsace,
119,14,11/12/2026 23:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Toulouse FC,
120,14,11/12/2026 23:00,Stade Francis-Le Blé,Stade Brestois 29,Estac Troyes,
121,14,11/12/2026 23:00,Stade Océane,Havre Athletic Club,Le Mans FC,
122,14,11/12/2026 23:00,Stade du Moustoir,FC Lorient,LOSC Lille,
123,14,11/12/2026 23:00,Parc Olympique Lyonnais,Olympique Lyonnais,Olympique de Marseille,
124,14,11/12/2026 23:00,Allianz Riviera,OGC Nice,RC Lens,
125,14,11/12/2026 23:00,Parc des Princes,Paris Saint-Germain,Paris FC,
126,14,11/12/2026 23:00,Roazhon Park,Stade Rennais FC,AS Monaco,
127,15,01/01/2027 23:00,Stade Francis-Le Blé,Stade Brestois 29,Olympique de Marseille,
128,15,01/01/2027 23:00,Stade Marie-Marvingt,Le Mans FC,Olympique Lyonnais,
129,15,01/01/2027 23:00,Stade Bollaert-Delelis,RC Lens,Paris Saint-Germain,
130,15,01/01/2027 23:00,Stade Pierre-Mauroy,LOSC Lille,RC Strasbourg Alsace,
131,15,01/01/2027 23:00,Stade du Moustoir,FC Lorient,AJ Auxerre,
132,15,01/01/2027 23:00,Stade Louis II,AS Monaco,OGC Nice,
133,15,01/01/2027 23:00,Stade Charléty,Paris FC,Havre Athletic Club,
134,15,01/01/2027 23:00,Stadium de Toulouse,Toulouse FC,Angers SCO,
135,15,01/01/2027 23:00,Stade de l'Aube,Estac Troyes,Stade Rennais FC,
136,16,15/01/2027 23:00,Stade Raymond Kopa,Angers SCO,Paris Saint-Germain,
137,16,15/01/2027 23:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Estac Troyes,
138,16,15/01/2027 23:00,Parc Olympique Lyonnais,Olympique Lyonnais,FC Lorient,
139,16,15/01/2027 23:00,Stade Vélodrome,Olympique de Marseille,LOSC Lille,
140,16,15/01/2027 23:00,Stade Louis II,AS Monaco,Stade Brestois 29,
141,16,15/01/2027 23:00,Allianz Riviera,OGC Nice,Havre Athletic Club,
142,16,15/01/2027 23:00,Stade Charléty,Paris FC,Toulouse FC,
143,16,15/01/2027 23:00,Roazhon Park,Stade Rennais FC,RC Lens,
144,16,15/01/2027 23:00,Stade de la Meinau,RC Strasbourg Alsace,Le Mans FC,
145,17,22/01/2027 23:00,Stade Océane,Havre Athletic Club,Stade Rennais FC,
146,17,22/01/2027 23:00,Stade Marie-Marvingt,Le Mans FC,Angers SCO,
147,17,22/01/2027 23:00,Stade Bollaert-Delelis,RC Lens,Stade Brestois 29,
148,17,22/01/2027 23:00,Stade Pierre-Mauroy,LOSC Lille,Paris FC,
149,17,22/01/2027 23:00,Stade du Moustoir,FC Lorient,Olympique de Marseille,
150,17,22/01/2027 23:00,Parc des Princes,Paris Saint-Germain,AJ Auxerre,
151,17,22/01/2027 23:00,Stade de la Meinau,RC Strasbourg Alsace,Olympique Lyonnais,
152,17,22/01/2027 23:00,Stadium de Toulouse,Toulouse FC,OGC Nice,
153,17,22/01/2027 23:00,Stade de l'Aube,Estac Troyes,AS Monaco,
154,18,29/01/2027 23:00,Stade Raymond Kopa,Angers SCO,Havre Athletic Club,
155,18,29/01/2027 23:00,Stade Francis-Le Blé,Stade Brestois 29,RC Strasbourg Alsace,
156,18,29/01/2027 23:00,Stade Marie-Marvingt,Le Mans FC,OGC Nice,
157,18,29/01/2027 23:00,Parc Olympique Lyonnais,Olympique Lyonnais,LOSC Lille,
158,18,29/01/2027 23:00,Stade Vélodrome,Olympique de Marseille,Estac Troyes,
159,18,29/01/2027 23:00,Stade Louis II,AS Monaco,Paris Saint-Germain,
160,18,29/01/2027 23:00,Stade Charléty,Paris FC,AJ Auxerre,
161,18,29/01/2027 23:00,Roazhon Park,Stade Rennais FC,FC Lorient,
162,18,29/01/2027 23:00,Stadium de Toulouse,Toulouse FC,RC Lens,
163,19,05/02/2027 23:00,Stade de l'Abbé-Deschamps,AJ Auxerre,AS Monaco,
164,19,05/02/2027 23:00,Stade Océane,Havre Athletic Club,Toulouse FC,
165,19,05/02/2027 23:00,Stade Bollaert-Delelis,RC Lens,Angers SCO,
166,19,05/02/2027 23:00,Stade du Moustoir,FC Lorient,Le Mans FC,
167,19,05/02/2027 23:00,Allianz Riviera,OGC Nice,Stade Brestois 29,
168,19,05/02/2027 23:00,Parc des Princes,Paris Saint-Germain,Olympique de Marseille,
169,19,05/02/2027 23:00,Roazhon Park,Stade Rennais FC,Olympique Lyonnais,
170,19,05/02/2027 23:00,Stade de la Meinau,RC Strasbourg Alsace,Paris FC,
171,19,05/02/2027 23:00,Stade de l'Aube,Estac Troyes,LOSC Lille,
172,20,12/02/2027 23:00,Stade de l'Abbé-Deschamps,AJ Auxerre,RC Strasbourg Alsace,
173,20,12/02/2027 23:00,Stade Francis-Le Blé,Stade Brestois 29,Stade Rennais FC,
174,20,12/02/2027 23:00,Stade Marie-Marvingt,Le Mans FC,Paris Saint-Germain,
175,20,12/02/2027 23:00,Stade Pierre-Mauroy,LOSC Lille,OGC Nice,
176,20,12/02/2027 23:00,Stade du Moustoir,FC Lorient,Havre Athletic Club,
177,20,12/02/2027 23:00,Parc Olympique Lyonnais,Olympique Lyonnais,RC Lens,
178,20,12/02/2027 23:00,Stade Vélodrome,Olympique de Marseille,Angers SCO,
179,20,12/02/2027 23:00,Stade Charléty,Paris FC,Estac Troyes,
180,20,12/02/2027 23:00,Stadium de Toulouse,Toulouse FC,AS Monaco,
181,21,19/02/2027 23:00,Stade Raymond Kopa,Angers SCO,Paris FC,
182,21,19/02/2027 23:00,Stade Océane,Havre Athletic Club,Olympique Lyonnais,
183,21,19/02/2027 23:00,Stade Pierre-Mauroy,LOSC Lille,FC Lorient,
184,21,19/02/2027 23:00,Stade Louis II,AS Monaco,Le Mans FC,
185,21,19/02/2027 23:00,Allianz Riviera,OGC Nice,AJ Auxerre,
186,21,19/02/2027 23:00,Parc des Princes,Paris Saint-Germain,Stade Brestois 29,
187,21,19/02/2027 23:00,Roazhon Park,Stade Rennais FC,Toulouse FC,
188,21,19/02/2027 23:00,Stade de la Meinau,RC Strasbourg Alsace,Olympique de Marseille,
