Match Number,Round Number,Date,Location,Home Team,Away Team,Result
2,1,07/08/2026 20:15,Estádio António Coimbra da Mota,Estoril Praia,FC Famalicão,1 - 1
4,1,08/08/2026 15:30,Estádio do Marítimo,Marítimo M.,Casa Pia AC,1 - 0
9,1,08/08/2026 18:00,Estádio D. Afonso Henriques,Vitória SC,FC Arouca,0 - 1
1,1,08/08/2026 20:30,Estádio José Gomes,Estrela Amadora,Sporting CP,2 - 2
6,1,09/08/2026 18:00,Estádio do Dragão,FC Porto,FC Alverca,2 - 0
3,1,09/08/2026 20:30,Estádio Cidade de Barcelos,Gil Vicente FC,Rio Ave FC,1 - 0
5,1,09/08/2026 20:30,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,SC Braga,2 - 2
8,1,09/08/2026 20:30,Estádio do Sport Lisboa e Benfica,SL Benfica,Académico,2 - 2
7,1,10/08/2026 20:15,Estádio de São Miguel,Santa Clara,CD Nacional,2 - 2
18,2,14/08/2026 20:15,Estádio José Alvalade,Sporting CP,Vitória SC,3 - 2
11,2,15/08/2026 15:30,Estádio do FC Alverca,FC Alverca,Estrela Amadora,2 - 2
10,2,15/08/2026 18:00,Estádio Municipal do Fontelo,Académico,Santa Clara,0 - 1
17,2,15/08/2026 20:30,Estádio do Rio Ave Futebol Clube,Rio Ave FC,FC Porto,0 - 2
16,2,16/08/2026 15:30,Estádio da Madeira,CD Nacional,Estoril Praia,2 - 0
12,2,16/08/2026 18:00,Estádio Municipal de Arouca,FC Arouca,Moreirense FC,4 - 0
13,2,16/08/2026 20:30,Estádio Municipal de Braga,SC Braga,Gil Vicente FC,
15,2,16/08/2026 20:30,Estádio Municipal de Famalicão,FC Famalicão,Marítimo M.,1 - 2
14,2,17/08/2026 20:15,Estádio Municipal de Rio Maior,Casa Pia AC,SL Benfica,0 - 7
22,3,22/08/2026 15:30,Estádio do Marítimo,Marítimo M.,Académico,2 - 2
20,3,22/08/2026 18:00,Estádio António Coimbra da Mota,Estoril Praia,Rio Ave FC,0 - 2
26,3,22/08/2026 20:30,Estádio José Alvalade,Sporting CP,FC Alverca,3 - 1
27,3,23/08/2026 15:30,Estádio D. Afonso Henriques,Vitória SC,CD Nacional,1 - 0
25,3,23/08/2026 18:00,Estádio de São Miguel,Santa Clara,FC Famalicão,1 - 0
24,3,23/08/2026 20:30,Estádio do Dragão,FC Porto,FC Arouca,2 - 0
21,3,24/08/2026 20:15,Estádio Cidade de Barcelos,Gil Vicente FC,Casa Pia AC,2 - 0
23,3,09/09/2026 20:45,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,SL Benfica,0 - 4
19,3,10/09/2026 20:15,Estádio do FC Alverca,Estrela Amadora,SC Braga,2 - 1
35,4,28/08/2026 20:15,Estádio do Rio Ave Futebol Clube,Rio Ave FC,Sporting CP,0 - 4
29,4,29/08/2026 15:30,Estádio do FC Alverca,FC Alverca,Santa Clara,1 - 1
30,4,29/08/2026 15:30,Estádio Municipal de Arouca,FC Arouca,Marítimo M.,2 - 1
28,4,29/08/2026 18:00,Estádio Municipal do Fontelo,Académico,FC Porto,0 - 3
34,4,30/08/2026 15:30,Estádio da Madeira,CD Nacional,Estrela Amadora,2 - 3
32,4,30/08/2026 18:00,Estádio Municipal de Rio Maior,Casa Pia AC,Moreirense FC,0 - 1
33,4,30/08/2026 20:30,Estádio Municipal de Famalicão,FC Famalicão,Gil Vicente FC,0 - 0
31,4,31/08/2026 20:15,Estádio Municipal de Braga,SC Braga,Vitória SC,1 - 0
36,4,31/08/2026 20:15,Estádio do Sport Lisboa e Benfica,SL Benfica,Estoril Praia,2 - 1
42,5,04/09/2026 20:15,Estádio do Dragão,FC Porto,Moreirense FC,2 - 1
38,5,05/09/2026 15:30,Estádio José Gomes,Estrela Amadora,FC Famalicão,2 - 2
37,5,05/09/2026 18:00,Estádio do FC Alverca,FC Alverca,SC Braga,1 - 2
41,5,05/09/2026 18:00,Estádio do Marítimo,Marítimo M.,SL Benfica,0 - 3
44,5,05/09/2026 20:30,Estádio José Alvalade,Sporting CP,CD Nacional,2 - 0
43,5,06/09/2026 15:30,Estádio de São Miguel,Santa Clara,Rio Ave FC,4 - 0
45,5,06/09/2026 18:00,Estádio D. Afonso Henriques,Vitória SC,Casa Pia AC,0 - 0
40,5,06/09/2026 20:30,Estádio Cidade de Barcelos,Gil Vicente FC,Académico,0 - 1
39,5,07/09/2026 20:15,Estádio António Coimbra da Mota,Estoril Praia,FC Arouca,0 - 0
52,6,12/09/2026 15:30,Estádio da Madeira,CD Nacional,FC Alverca,1 - 3
49,6,12/09/2026 18:00,Estádio Municipal de Rio Maior,Casa Pia AC,FC Porto,1 - 4
46,6,12/09/2026 20:30,Estádio Municipal do Fontelo,Académico,Vitória SC,2 - 1
47,6,13/09/2026 18:00,Estádio Municipal de Arouca,FC Arouca,Santa Clara,
54,6,13/09/2026 18:00,Estádio do Sport Lisboa e Benfica,SL Benfica,Gil Vicente FC,
50,6,13/09/2026 20:30,Estádio Municipal de Famalicão,FC Famalicão,Sporting CP,
53,6,14/09/2026 18:45,Estádio do Rio Ave Futebol Clube,Rio Ave FC,Estrela Amadora,
